rank,N,W,MIN_POP_PCT,LAM,n_stations,direct_demand,max_demand,direct_pct_of_max,feasible,captured_demand,captured_pct_of_max,improvement_pct,current_captured,direct_improvement_pct,current_direct_demand
338,90,0.8,75,0.5,90,298219.0,2261192.0,13.19,False,1674624.1273,89.0,1.3,1653793.0999,-8.6,326375.0
339,90,0.7,75,0.5,90,297931.0,2261192.0,13.18,True,1674563.5974,89.0,1.3,1653793.0999,-8.7,326375.0
340,90,0.7,75,0.3,90,297931.0,2261192.0,13.18,True,1674563.5974,89.0,1.3,1653793.0999,-8.7,326375.0
341,90,0.6,75,0.5,90,297931.0,2261192.0,13.18,True,1674563.5974,89.0,1.3,1653793.0999,-8.7,326375.0
342,90,0.6,75,0.3,90,297931.0,2261192.0,13.18,True,1674563.5974,89.0,1.3,1653793.0999,-8.7,326375.0
343,90,0.9,90,0.5,90,297671.0,2261192.0,13.16,False,1679796.0573,89.28,1.6,1653793.0999,-8.8,326375.0
344,90,0.9,75,0.3,90,297656.0,2261192.0,13.16,False,1675220.3999,89.03,1.3,1653793.0999,-8.8,326375.0
345,90,1.0,75,0.3,90,297656.0,2261192.0,13.16,False,1675220.3999,89.03,1.3,1653793.0999,-8.8,326375.0
346,90,0.9,80,0.3,90,297521.0,2261192.0,13.16,True,1666995.5079,88.6,0.8,1653793.0999,-8.8,326375.0
347,85,1.0,90,0.3,85,297446.0,2261192.0,13.15,False,1671757.1809,88.85,1.1,1653793.0999,-8.9,326375.0
348,90,0.8,75,0.3,90,297349.0,2261192.0,13.15,False,1673649.8257,88.95,1.2,1653793.0999,-8.9,326375.0
349,90,0.7,80,0.3,90,296626.0,2261192.0,13.12,True,1680412.8326,89.31,1.6,1653793.0999,-9.1,326375.0
350,90,0.9,85,0.5,90,296362.0,2261192.0,13.11,False,1675929.7217,89.07,1.3,1653793.0999,-9.2,326375.0
351,85,0.6,80,0.3,85,296169.0,2261192.0,13.1,False,1673701.8359,88.95,1.2,1653793.0999,-9.3,326375.0
352,90,0.8,80,0.5,90,295603.0,2261192.0,13.07,False,1678221.7371,89.19,1.5,1653793.0999,-9.4,326375.0
353,90,1.0,80,0.3,90,294813.0,2261192.0,13.04,True,1685466.4967,89.58,1.9,1653793.0999,-9.7,326375.0
354,90,0.6,85,0.3,90,294389.0,2261192.0,13.02,True,1685561.9677,89.58,1.9,1653793.0999,-9.8,326375.0
